PID,POIs,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1
POI1,MARINA BEACH,Scenic,Food and Drinks,,,
POI2,GOVERNMENT MUSEUM,Museum,History and Culture,Scenic,,
POI3,MGR FILM CITY,Scenic,Local Experiences,,,
POI4,BREEZY BEACH,Scenic,Food and Drinks,Local Experiences,,
POI5,MARUNDEESWARAR TEMPLE,Religious,Local Experiencess,History and Culture,,
POI6,ARIGNAR ANNA ZOOLOGICAL PARK,Adventure,Scenic,Food and Drinks,,
POI7,VALLUVAR KOTTAM,Museum,History and Culture,Scenic,,
POI8,ASHTALAKSHMI TEMPLE,Religious,History and Culture,Local Experiences,,
POI9,CONNEMARA PUBLIC LIBRARY,Local Experiences,History and Culture,,,
POI10,ELLIOT'S BEACH,Scenic,Food and Drinks,,,
POI11,VGP GOLDEN BEACH,Scenic,Food and Drinks,,,
POI12,ISKCON (HARE RAMA HARE KRISHNA) TEMPLE,Religious,Food and Drinks,,,
POI13,VIVEKANANDA HOUSE,Museum,History and Culture,Scenic,,
POI14,DAKSHINACHITRA MUSEUM,Museum,History and Culture,Scenic,,
POI15,SANTHOME CATHEDRAL BASILICA,Religious,History and Culture,Local Experiences,,
POI16,MADRAS WAR CEMETERY,History and Culture,,,,
POI17,MADRAS CROCODILE BANK TRUST,Adventure,Scenic,,,
POI18,MGM DIZZEE WORLD,Adventure,Food and Drinks,,,
POI19,SHIRDI SAI BABA TEMPLE,Religious,History and Culture,Local Experiences,,
POI20,PRAKASAM SALAI,Shopping,Food and Drinks,Local Experiences,,
POI21,THOUSAND LIGHTS MOSQUE,Religious,History and Culture,,,
POI22,FORT STGEORGE,History and Culture,Scenic,,,
POI23,ROYAPURAM FISHING HARBOUR,Adventure,Food and Drinks,,,
POI24,SANTHOME CHURCH,Religious,,,,
POI25,KAPALEESWARAR TEMPLE,Religious,,,,
POI26,EXPRESS AVENUE,Shopping,Food and Drinks,,,
POI27,VADAPALANI MURUGAN TEMPLE,Religious,Scenic,,,
POI28,T NAGAR,Shopping,Food and Drinks,Local Experiences,,
POI29,PARTHASARATHY TEMPLE,Religious,,,,
POI30,PARASAILING,Adventure,Scenic,,,
POI31,SCUBA DIVING,Adventure,Scenic,,,
POI32,CAMPING,Adventure,Scenic,,,
POI33,PARAGLIDING,Adventure,Scenic,,,
POI34,SURFING,Adventure,Scenic,,,
POI35,PAINTBALL,Adventure,Scenic,,,
POI36,ROCK CLIMBING,Adventure,,,,
POI37,JUNGLE SAFARI,Adventure,Scenic,,,
POI38,BOATING,Adventure,Scenic,,,
POI39,ANJANEYAR TEMPLE NANGANALLUR,Religious,History and Culture,,,
POI40,FISHING,Religious,History and Culture,,,
POI41,THIRUVANMIYUR BEACH,Scenic,Food and Drinks,,,
POI42,NEELANKARAI BEACH,Scenic,Food and Drinks,,,
POI43,SANTHOME BEACH,Scenic,Food and Drinks,,,
POI44,PEBBLE BEACH,Scenic,Food and Drinks,,,
POI45,PALAVAKKAM BEACH,Scenic,Food and Drinks,,,
POI46,KASIMEDU BEACH,Scenic,Food and Drinks,,,