Section,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,POI1,POI4,POI10,POI11,POI12,POI23,POI32,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,,,,,,,,,,,,,,,,
2,POI1,POI4,POI10,POI11,POI19,POI21,POI25,POI27,POI29,POI32,POI39,POI41,POI42,POI43,POI44,POI45,POI46,POI12,,,,,,,,,,,,,,,,,,
3,POI1,POI4,POI10,POI11,POI15,POI24,POI32,POI34,POI36,POI38,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,,,,,,,,,,,,,
4,POI1,POI4,POI8,POI10,POI11,POI12,POI15,POI19,POI21,POI23,POI24,POI25,POI27,POI29,POI32,POI34,POI36,POI38,POI39,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,,,,
5,POI1,POI4,POI7,POI10,POI11,POI12,POI15,POI16,POI19,POI21,POI23,POI24,POI25,POI27,POI29,POI32,POI34,POI36,POI38,POI39,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,,,
6,POI1,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI15,POI16,POI17,POI19,POI21,POI22,POI23,POI24,POI25,POI27,POI28,POI29,POI32,POI34,POI35,POI36,POI37,POI38,POI39,POI41,POI42,POI43,POI44,POI45,,,
7,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI13,POI14,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI33,POI34,POI37,POI38,POI39,POI41,POI42,POI43,POI44
8,POI5,POI6,POI9,POI7,POI13,POI14,POI17,POI18,POI20,POI21,POI22,POI26,POI30,POI31,POI32,POI33,POI35,POI37,POI41,POI43,POI46,,,,,,,,,,,,,,,
9,POI1,POI3,POI4,POI5,POI7,POI9,POI10,POI11,POI15,POI16,POI17,POI18,POI20,POI21,POI23,POI24,POI25,POI26,POI28,POI30,POI33,POI35,POI36,POI38,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,
10,POI1,POI3,POI4,POI5,POI10,POI11,POI13,POI15,POI17,POI18,POI20,POI21,POI23,POI24,POI25,POI26,POI27,POI29,POI32,POI35,POI36,POI38,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,
11,POI1,POI4,POI5,POI10,POI11,POI15,POI20,POI21,POI24,POI25,POI26,POI27,POI29,POI32,POI35,POI36,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,,,,
12,POI1,POI4,POI10,POI11,POI25,POI32,POI36,POI38,POI40,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,,,,,,,,,,,,,,
13,POI1,POI4,POI10,POI11,POI32,POI38,POI40,POI41,POI42,POI43,POI44,POI45,POI46,,,,,,,,,,,,,,,,,,,,,,,