Section,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,POI1,POI18,POI34,POI47,POI49,POI32,POI35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POI21,POI1,POI18,POI34,POI47,POI49,POI32,POI35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POI13,POI22,POI52,POI41,POI21,POI1,POI18,POI34,POI47,POI49,POI32,POI35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,POI1,POI18,POI34,POI47,POI49,POI32,POI35,POI21,POI13,POI22,POI52,POI41,POI9,POI10,POI24,POI28,POI37,POI38,POI45,,,,,,,,,,,,,,,,,,,,,,,
5,POI23,POI1,POI18,POI34,POI47,POI49,POI32,POI35,POI21,POI13,POI22,POI52,POI41,POI9,POI10,POI24,POI28,POI37,POI38,POI45,,,,,,,,,,,,,,,,,,,,,,
6,POI27,POI23,POI23,POI1,POI18,POI34,POI47,POI49,POI32,POI35,POI21,POI13,POI22,POI52,POI41,POI9,POI10,POI24,POI28,POI37,POI38,POI45,POI8,,,,,,,,,,,,,,,,,,,
7,POI1,POI18,POI34,POI47,POI49,POI32,POI35,POI21,POI13,POI22,POI52,POI41,POI9,POI10,POI24,POI28,POI37,POI38,POI45,POI23,POI12,POI27,POI8,POI2,POI3,POI4,POI15,POI17,POI19,POI20,POI26,POI33,POI42,POI44,POI48,POI50,POI51,,,,,
8,POI2,POI20,POI41,POI44,POI45,POI48,POI50,POI51,POI8,POI9,POI4,POI10,POI19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,POI25,POI2,POI20,POI41,POI44,POI45,POI48,POI50,POI51,POI8,POI9,POI4,POI10,POI19,POI22,POI24,POI37,POI38,POI42,POI7,POI15,POI39,POI13,POI3,POI5,POI6,POI29,POI40,POI32,POI16,POI17,POI36,POI52,POI21,POI14,POI33,POI25,POI1,POI18,POI34,POI47,POI49
10,POI4,POI10,POI19,POI22,POI24,POI37,POI38,POI42,POI7,POI15,POI39,POI13,POI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,POI30,POI3,POI5,POI6,POI29,POI40,POI32,POI16,POI17,POI36,POI52,POI21,POI14,POI33,POI25,POI1,POI18,POI34,POI47,POI49,,,,,,,,,,,,,,,,,,,,,,
12,POI16,POI17,POI36,POI52,POI21,POI14,POI33,POI25,POI1,POI18,POI34,POI47,POI49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,POI1,POI18,POI34,POI47,POI49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,