PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47
POI1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI2,28.33948416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI3,32.51900294,8.946913107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI4,24.76001672,6.933867085,7.828442947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI5,29.31673682,1.29675652,9.505942644,8.211422898,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI6,17.35225768,23.63120335,22.60536748,17.03064208,24.92450094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI7,38.28398289,30.50146792,23.08906453,24.62301709,31.51788816,21.02411287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI8,40.58684618,16.44551129,8.393233891,16.14333226,16.58564236,28.86965344,22.70033387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI9,24.86739904,7.364194438,7.665250268,0.5221601071,8.632107069,16.7506037,24.10086856,15.92242546,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI10,38.4277667,10.62030223,8.19246426,14.19246496,10.10351163,30.49599323,30.06624059,9.103985958,14.27713904,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI11,34.79558813,11.68274223,2.830311328,10.3527742,12.14167849,23.79494422,21.67190769,5.814159894,10.1165786,8.504930754,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI12,24.31019214,6.151737762,8.541576186,1.245007554,7.447671422,17.53358618,25.84673194,16.92387516,1.760081456,14.31084649,11.18514077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI13,27.5626668,2.027429499,7.635456958,4.977813828,3.257286068,21.86026252,28.55316411,15.61073905,5.383327591,10.92000393,10.4533694,4.32719682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI14,26.53618619,8.548816043,6.1244887,2.736931964,9.719779892,16.94723596,22.20585111,14.06467521,2.283121148,13.57330603,8.261037207,3.950429533,6.526742309,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI15,27.612251,2.333180505,7.331782419,4.749789124,3.533589287,21.68621654,28.21901527,15.352316,5.138779938,10.83785587,10.15406667,4.165735061,0.3416739818,6.21570595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI16,33.60104541,6.49105651,4.686800347,9.311798389,6.428123222,25.858127,27.76337369,10.20484624,9.417814847,4.89478945,6.531093718,9.418470244,6.276229031,8.920567035,6.136842353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI17,27.3062683,1.154573589,8.903122987,5.925388902,2.427643458,22.50171248,29.85605134,16.72388864,6.380041709,11.43489523,11.70330794,5.067894645,1.354779688,7.747937169,1.695684638,7.048449372,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI18,36.71273158,18.69965294,26.78457472,25.08856971,17.68771609,39.59181778,49.19606643,32.04596065,25.59055948,23.15785574,29.06994706,23.99000482,20.67396721,27.15570271,21.00245431,22.56603362,19.40992104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI19,24.72703702,5.859228295,8.171593856,1.241692107,7.151684208,17.87754334,25.85111802,16.56017229,1.759980945,13.88854181,10.83794658,0.4226510384,3.988068197,3.819809502,3.809149446,8.995976305,4.800340981,23.85903009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI20,33.61599439,8.61228223,1.727163193,8.856614236,8.945726573,24.22285865,24.54794869,7.959613214,8.776700505,6.468495667,3.306492253,9.389045831,7.652540046,7.520345798,7.392715502,3.282714399,8.792474809,25.76850675,8.989423732,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI21,27.94428849,3.054388342,6.506864801,4.426835468,4.158360078,21.45265893,27.44839762,14.60173435,4.753785654,10.48602561,9.33413098,4.062201828,1.191119839,5.570323935,0.8560249618,5.676880904,2.543267081,21.75403766,3.665204893,6.649338905,0,,,,,,,,,,,,,,,,,,,,,,,,,,
POI22,27.71496742,1.635410523,7.855167978,5.355652731,2.868621676,22.20570515,28.92546586,15.74341034,5.766865739,10.82058017,10.66159735,4.673164196,0.3922791636,6.916536932,0.7082953577,6.254568769,1.05647673,20.29418317,4.344480921,7.79465761,1.512827843,0,,,,,,,,,,,,,,,,,,,,,,,,,
POI23,24.63414474,6.782965224,7.991068929,0.2600098061,8.066359208,17.10081441,24.87103048,16.32441102,0.7736840801,14.23834272,10.54176138,0.9872314296,4.848408151,2.994095612,4.63277426,9.350611138,5.756806593,24.87364415,1.015053187,8.983260058,4.352474901,5.221247239,0,,,,,,,,,,,,,,,,,,,,,,,,
POI24,36.53857148,9.274170702,5.929253193,12.08451101,9.001614836,28.23279357,28.191728,8.360853048,12.13635353,2.282123398,6.523489994,12.29392561,9.229898151,11.33010254,9.098809164,2.965172843,9.935194632,23.7075355,11.87163592,4.202264692,8.63784325,9.190893063,12.14772167,0,,,,,,,,,,,,,,,,,,,,,,,
POI25,38.13886338,10.84902267,7.021603094,13.6192677,10.51468294,29.54636429,28.50194211,7.606962505,13.64870898,1.59966002,7.018361891,13.87110859,10.84989232,12.72180452,10.71987525,4.585694037,11.53831862,24.50733017,13.44950486,5.338951135,10.25498586,10.80732759,13.69236764,1.621085865,0,,,,,,,,,,,,,,,,,,,,,,
POI26,40.02250048,12.24671522,9.295190655,15.68946358,11.71082646,31.79410469,30.42730423,8.704343343,15.75103892,1.629074687,9.169073783,15.85571479,12.53800139,14.92929994,12.44981943,6.442398713,13.06385189,24.10614027,15.43307047,7.606732935,12.07830683,12.44390316,15.74608097,3.619715135,2.274159339,0,,,,,,,,,,,,,,,,,,,,,
POI27,40.43408163,12.76059114,9.421769664,16.01801314,12.2539403,31.98224175,30.20503909,8.282584595,16.0626445,2.150486245,9.110158837,16.22283741,12.99354504,15.16663035,12.89477047,6.833930367,13.55575257,24.69039616,15.80031903,7.762809162,12.49695678,12.91138205,16.08274926,3.935330874,2.445052444,0.60890911,0,,,,,,,,,,,,,,,,,,,,
POI28,24.21658326,10.32013162,8.779792845,3.431404566,11.58008612,14.25590899,21.5536409,16.41375045,2.9634559,16.30083284,10.68533711,4.502559845,8.324427823,2.735636593,8.065293461,11.60439514,9.343483469,28.48914339,4.637571076,10.2358191,7.603713908,8.711633705,3.628011622,14.06292127,15.45704822,17.6644276,17.90195962,0,,,,,,,,,,,,,,,,,,,
POI29,7.230394286,28.94665158,34.81026185,27.02083725,29.68389828,23.57938541,44.0308726,43.16348989,27.25811408,39.5112476,37.37048845,26.27639861,28.6647605,29.26240396,28.79778539,34.93435186,28.07779453,33.39055851,26.65876821,35.61621884,29.31549273,28.72106473,26.83931418,37.8937089,39.51421477,41.13978308,41.62327124,27.36825913,0,,,,,,,,,,,,,,,,,,
POI30,29.12647371,1.205113196,9.607007794,8.137958104,0.2007809977,24.80914821,31.54114721,16.74080219,8.565477852,10.30065813,12.25852234,7.351422296,3.205221525,9.69586308,3.492707799,6.595216396,2.30743774,17.6580377,7.062937495,9.075733174,4.147119148,2.813957745,7.987981694,9.186696552,10.70401056,11.90882682,12.4511277,11.51869524,29.48374163,0,,,,,,,,,,,,,,,,,
POI31,25.04230623,6.126041359,7.718726758,0.8112380546,7.406199899,17.76298044,25.32083395,16.09445787,1.287922121,13.69580768,10.34814476,0.8410533277,4.181693906,3.244923255,3.964087688,8.801933889,5.114151908,24.30447003,0.5812922881,8.609040976,3.694105326,4.556097925,0.668806861,11.63542061,13.19622559,15.21984937,15.57004755,4.238514997,27.09272443,7.330598901,0,,,,,,,,,,,,,,,,
POI32,34.84694266,16.92030892,8.419778525,12.95459382,17.6865359,21.0439316,15.04697924,8.789696934,12.51101209,15.03215407,6.639442562,14.13111219,15.23717171,10.22792294,14.89837972,12.95192202,16.59017611,35.17835428,13.93453779,9.674831001,14.046971,15.5488828,13.20777931,13.14859834,13.48132261,15.47952321,15.30858337,11.37179913,38.60192368,17.75911155,13.35479516,0,,,,,,,,,,,,,,,
POI33,28.16730319,1.392466283,7.753152461,5.752831353,2.530858518,22.64751853,29.10903886,15.51971475,6.148519223,10.40053121,10.53744467,5.114195318,0.7874702465,7.194400316,1.012397131,5.895358341,1.204826308,20.09124784,4.775363055,7.59291664,1.663489704,0.4736387043,5.628698899,8.812732308,10.42494774,12.02620261,12.50079178,9.077669687,29.12392713,2.501468322,4.960964285,15.58639825,0,,,,,,,,,,,,,,
POI34,41.22741685,24.0317049,31.86733211,30.50638384,22.97480062,44.95661509,54.48918775,36.60130371,31.00556483,27.55539114,34.03219836,29.41778833,26.02544863,32.53006397,26.34960838,27.50145596,24.78252612,5.44211407,29.28022394,30.75340875,27.08228259,25.6417563,30.29414378,28.36180748,28.99872924,28.32476563,28.88164266,33.91392918,37.32913273,22.95762856,29.71836257,40.28526707,25.41907213,0,,,,,,,,,,,,,
POI35,42.25807085,20.18956462,11.48698294,18.66501049,20.49378261,29.01241815,19.54044504,4.494331425,18.34688221,13.59771514,8.657098902,19.62739683,19.08679477,16.22596854,18.79467884,14.28077048,20.30648224,36.45769365,19.31319253,11.57965221,17.9834806,19.27740585,18.88141453,12.75044121,12.09041509,13.16187379,12.71313499,18.15258551,45.4583015,20.63246328,18.78687997,7.970459689,19.12213069,41.06779072,0,,,,,,,,,,,,
POI36,26.13648368,4.003509902,7.549548656,2.930666588,5.281529652,19.8025314,27.02918483,15.87479045,3.365547191,12.3115503,10.35233493,2.284103462,2.069673445,4.829495825,1.884599943,7.464569208,3.022851995,22.36097916,1.924992748,8.024115275,1.854060898,2.436346698,2.786858923,10.40857067,12.01707681,13.89318536,14.297856,6.327425859,27.67081487,5.20733656,2.124724229,14.33147237,2.855385085,27.75420636,18.9863149,0,,,,,,,,,,,
POI37,28.33948416,0,8.946913107,6.933867085,1.29675652,23.63120335,30.50146792,16.44551129,7.364194438,10.62030223,11.68274223,6.151737762,2.027429499,8.548816043,2.333180505,6.49105651,1.154573589,18.69965294,5.859228295,8.61228223,3.054388342,1.635410523,6.782965224,9.274170702,10.84902267,12.24671522,12.76059114,10.32013162,28.94665158,1.205113196,6.126041359,16.92030892,1.392466283,24.0317049,20.18956462,4.003509902,0,,,,,,,,,,
POI38,39.72647737,11.39581393,11.44444247,16.36297488,10.51233343,33.15028777,33.70141864,12.4944488,16.54317366,3.647505693,12.08853247,16.23485285,12.29268562,16.23478857,12.3092756,7.323098352,12.42137294,20.51132896,15.82500183,9.731121359,12.19376976,12.0867295,16.35872422,5.616088998,5.239435552,3.827886907,4.340571777,18.8959644,40.16982992,10.71056305,15.74926526,18.65979542,11.62018225,24.5769918,16.97015246,14.04049598,11.39581393,0,,,,,,,,,
POI39,29.20555889,0.9859396139,9.151678183,7.846778054,0.4018047574,24.6064214,31.11725422,16.32089846,8.261302872,10.01974591,11.80703676,7.107979858,2.879998638,9.323785786,3.148168254,6.198773319,2.139764869,18.08683904,6.803332579,8.631492097,3.75960572,2.494456002,7.706460905,8.83815529,10.37249912,11.63564217,12.1693814,11.20436075,29.66992585,0.4557849287,7.043977601,17.30656778,2.140883983,23.37605263,20.19394198,4.919749377,0.9859396139,10.56956439,0,,,,,,,,
POI40,24.55932587,7.060909735,8.020150547,0.2060004787,8.34286758,16.85528651,24.61910215,16.32620794,0.5555921515,14.39712467,10.53186245,1.227765215,5.119526077,2.830510136,4.899115864,9.515616088,6.038223893,25.15246668,1.293554487,9.058079945,4.598141528,5.494164909,0.283006687,12.29027629,13.82526246,15.8949385,16.22385437,3.346092698,26.83953535,8.265786129,0.9380685135,13.05732873,5.898057643,30.57376764,18.82355666,3.061913193,7.060909735,16.55942146,7.981569457,0,,,,,,,
POI41,26.26472915,7.716210105,6.263989324,1.949396282,8.910217483,17.29836532,23.10598523,14.42153892,1.570012173,13.3396093,8.608105549,3.113062766,5.689342867,0.9037749229,5.387192741,8.581404932,6.882826639,26.28243526,2.948832271,7.513599358,4.785219734,6.080958545,2.195674054,11.13206391,12.58177996,14.74915902,15.01936038,3.054273879,28.79075996,8.87789069,2.369067102,11.0204264,6.379677834,31.66377781,16.78007889,3.937749205,7.716210105,15.85253778,8.517643898,2.077525022,0,,,,,,
POI42,23.94794743,6.522769959,8.828968095,1.254282922,7.819458376,17.14189378,25.71889609,17.1981507,1.725722071,14.7062823,11.43973932,0.4111894112,4.722866133,3.989728464,4.568112081,9.812642396,5.426440118,24.23942611,0.8230922509,9.720598785,4.473371052,5.063994605,1.001709404,12.67928297,14.25215202,16.24705508,16.61021288,4.282966073,25.98134898,7.719055129,1.114974078,14.20868844,5.509023147,29.67161537,19.83629067,2.68946457,6.522769959,16.64482403,7.484750198,1.170142496,3.196885043,0,,,,,
POI43,36.76279175,9.40525382,6.219847542,12.33955096,9.095789588,28.51736849,28.4407866,8.44791772,12.39713168,1.991975219,6.778033078,12.53367529,9.414068334,11.60994552,9.290598815,3.169879581,10.09085793,23.60317751,12.11118738,4.49296174,8.846757039,9.365444633,12.39980501,0.2912674483,1.447639849,3.354209038,3.689346284,14.3419077,38.07861801,9.283130588,11.88216252,13.39544138,8.980008875,28.22823001,12.86144077,10.62840662,9.40525382,5.341806264,8.943602405,12.54519026,11.40481119,12.92086694,0,,,,
POI44,21.09494727,9.359460156,11.43417923,3.688865355,10.64182644,14.32634045,25.25418827,19.63923089,3.772816221,17.79949598,13.82521919,3.541986577,7.731997926,5.641356978,7.618883207,12.90526805,8.214297788,26.03756442,3.954344341,12.53472582,7.595100213,8.04062786,3.594350122,15.73261633,17.28390703,19.32242265,19.66791445,4.136773104,23.62108793,10.51611104,4.103890413,15.43612394,8.50425542,31.47687229,21.85415487,5.775308679,9.359460156,19.77670379,10.34342205,3.484479212,5.218742885,3.132581332,15.98172458,0,,,
POI45,0.9422301884,27.45727506,31.58084437,23.82583771,28.44478798,16.59992008,37.4855188,39.64499215,23.93084469,37.51611548,33.85419767,23.38303744,26.66002248,25.59503734,26.70630733,32.68426911,26.41805638,36.11771974,23.80036315,32.68219567,27.03123155,26.81598852,23.70116302,35.61926249,37.218103,39.10881025,39.51784615,23.27440368,7.571419989,28.25533741,24.11240086,33.9154855,27.26975349,40.69080286,41.31839713,25.21999515,27.45727506,38.83933181,28.32891276,23.62491499,25.32560184,23.0194521,35.84455228,20.15867833,0,,
POI46,30.36136321,3.001507813,6.212807139,6.930843975,3.30698161,23.95015904,28.62435959,13.44659969,7.200725778,8.111404217,8.83580424,6.651511551,2.80979838,7.560711055,2.751118648,3.578883908,3.469571815,20.72959411,6.250947616,5.666722603,2.590902744,2.720264812,6.884391184,6.483661255,8.095931807,9.731302917,10.19330066,9.904975986,31.44121042,3.423133176,6.241059537,14.4842393,2.329164931,25.92216296,17.24130711,4.429653034,3.001507813,9.611597846,2.973099215,7.114066437,6.91540884,7.062691262,6.651417731,10.18600237,29.45626479,0,
POI47,28.05030388,0.9919089251,8.188278557,6.007227868,2.21138586,22.8200246,29.52218035,15.91061842,6.422264817,10.60775125,10.96672495,5.295428569,1.048021072,7.558329392,1.34292026,6.194665956,0.8537845105,19.68390743,4.977766204,7.997971979,2.074690313,0.6575035405,5.868834545,9.084358074,10.68932081,12.23609928,12.72243999,9.368705582,28.90374245,2.157245543,5.205297572,16.02988519,0.4445406094,25.02085057,19.54076902,3.082043372,0.9919089251,11.69580832,1.839792256,6.143148987,6.729286194,5.680448111,9.24211775,8.614256018,27.15731448,2.615791953,0