Section,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,POI28,POI21,POI30,POI37,POI40,POI36,POI14,POI19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POI16,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POI13,POI16,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,POI13,POI32,POI13,POI16,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,POI2,POI3,POI14,POI45,POI13,POI32,POI13,POI16,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI34,,,,,,,,,,,,,,,,,,,,,,,,
6,POI1,POI4,POI22,POI39,POI20,POI41,POI46,POI2,POI3,POI45,POI13,POI32,POI13,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI34,,,,,,,,,,,,,,,,,,,
7,POI44,POI9,POI43,POI25,POI38,POI1,POI4,POI22,POI39,POI20,POI41,POI46,POI2,POI3,POI14,POI13,POI32,POI13,POI16,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI42,POI47,POI10,POI34,,,,,,,,,,
8,POI11,POI29,POI12,POI17,POI6,POI7,POI24,POI26,POI23,POI15,POI5,POI44,POI9,POI43,POI25,POI38,POI1,POI4,POI22,POI39,POI20,POI41,POI46,POI2,POI3,POI13,POI32,POI13,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI42,POI47,POI10,POI34,
9,POI8,POI18,POI33,POI11,POI29,POI12,POI17,POI6,POI7,POI24,POI26,POI23,POI15,POI5,POI44,POI9,POI43,POI25,POI38,POI1,POI4,POI22,POI39,POI20,POI41,POI46,POI2,POI3,POI32,POI13,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI42,POI47,POI10
10,POI45,POI34,POI13,POI8,POI18,POI33,POI11,POI29,POI12,POI17,POI6,POI7,POI24,POI26,POI23,POI15,POI5,POI43,POI25,POI38,POI1,POI4,POI22,POI39,POI41,POI46,POI2,POI3,POI32,POI13,POI35,POI27,POI28,POI21,POI30,POI37,POI40,POI36,POI47,POI10,
11,POI45,POI34,POI13,POI8,POI18,POI33,POI12,POI17,POI6,POI7,POI24,POI26,POI23,POI15,POI5,POI43,POI25,POI38,POI1,POI4,POI22,POI41,POI46,POI2,POI3,POI13,POI35,POI28,POI21,POI30,POI37,POI40,POI36,POI47,POI10,,,,,,
12,POI18,POI23,POI5,POI43,POI25,POI38,POI41,POI46,POI2,POI13,POI28,POI21,POI30,POI37,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,POI18,POI5,POI43,POI25,POI41,POI28,POI21,POI30,POI37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,